time,latitude,longitude,dfe_max,dfe_min,dfe_range,dfe_mean
UTC,degrees_north,degrees_east,MMol' 'M-3,MMol' 'M-3,MMol' 'M-3,MMol' 'M-3
2000-01-01T00:00:00Z,34.025,-124.975,1.3033957660943908E-4,7.671578482613282E-6,1.226679981268258E-4,1.950083933231894E-5
2000-01-01T00:00:00Z,34.025,-124.925,1.3336791010049262E-4,7.685315151243235E-6,1.2568259494924938E-4,1.9643241961160368E-5
2000-01-01T00:00:00Z,34.025,-124.875,1.407052035422842E-4,7.707397125685673E-6,1.3299780641659855E-4,1.9817430130631217E-5
2000-01-01T00:00:00Z,34.025,-124.825,1.522141510959965E-4,7.752135146559948E-6,1.4446201594943653E-4,2.0014654457764148E-5
2000-01-01T00:00:00Z,34.025,-124.775,1.6034469842539945E-4,7.763148044452736E-6,1.525815503809467E-4,1.9923040776143776E-5
2000-01-01T00:00:00Z,34.025,-124.725,1.6166475810477796E-4,7.76613613327025E-6,1.538986219715077E-4,1.996160316561571E-5
2000-01-01T00:00:00Z,34.025,-124.675,1.5933723937293487E-4,7.794118191049158E-6,1.515431211818857E-4,2.0242015000809687E-5
2000-01-01T00:00:00Z,34.025,-124.625,1.5580809142332896E-4,7.900658747758454E-6,1.479074326755705E-4,2.043921150372024E-5
2000-01-01T00:00:00Z,34.025,-124.575,1.5123650303556168E-4,8.044627787170547E-6,1.4319187524839113E-4,2.062616739803156E-5
2000-01-01T00:00:00Z,34.025,-124.525,1.5106237720303106E-4,8.1281180724826E-6,1.4293425913054845E-4,2.0441713252180075E-5
2000-01-01T00:00:00Z,34.025,-124.475,1.505141636410138E-4,8.137048284472461E-6,1.4237711535654133E-4,2.047829325660813E-5
2000-01-01T00:00:00Z,34.025,-124.425,1.4463236639872436E-4,8.136302953397247E-6,1.3649606344532712E-4,2.086476376372182E-5
2000-01-01T00:00:00Z,34.025,-124.375,1.2590327712343983E-4,8.211928335212723E-6,1.1769134878822711E-4,2.121830599767433E-5
2000-01-01T00:00:00Z,34.025,-124.325,1.0762086680093489E-4,8.409438144701381E-6,9.921142865623351E-5,2.148012306535335E-5
2000-01-01T00:00:00Z,34.025,-124.275,9.633069692988497E-5,8.573461492544065E-6,8.775723543734091E-5,2.124264785869708E-5
2000-01-01T00:00:00Z,34.025,-124.225,9.517154480482869E-5,8.591478520035533E-6,8.658006628479317E-5,2.128364053570968E-5
2000-01-01T00:00:00Z,34.025,-124.175,9.849513210391113E-5,8.526124941934341E-6,8.996900716197679E-5,2.1818198313341968E-5
2000-01-01T00:00:00Z,34.025,-124.125,9.459865884894498E-5,8.492024626446442E-6,8.610663422249854E-5,2.2506004074169676E-5
2000-01-01T00:00:00Z,34.025,-124.075,9.099145879338235E-5,8.591310859751636E-6,8.240014793363072E-5,2.287089605757766E-5
2000-01-01T00:00:00Z,34.025,-124.025,8.728715912378727E-5,8.730503454470563E-6,7.855665566931672E-5,2.3020796269916563E-5
2000-01-01T00:00:00Z,34.025,-123.975,8.703090903895586E-5,8.7570992789618E-6,7.827380975999406E-5,2.3094928383725757E-5
2000-01-01T00:00:00Z,34.025,-123.925,9.06428829496475E-5,8.819973855505875E-6,8.182290909414162E-5,2.371310742713751E-5
2000-01-01T00:00:00Z,34.025,-123.875,9.533736800605774E-5,8.915782490206282E-6,8.642158551585145E-5,2.4747065651922496E-5
2000-01-01T00:00:00Z,34.025,-123.825,9.515036760917243E-5,9.144199634944605E-6,8.600616797422782E-5,2.543653418287693E-5
2000-01-01T00:00:00Z,34.025,-123.775,9.391175449603115E-5,9.347307020690911E-6,8.456444747534024E-5,2.5852773511991854E-5
2000-01-01T00:00:00Z,34.025,-123.725,9.526972852169582E-5,9.34485931708965E-6,8.592486920460617E-5,2.59854190961429E-5
2000-01-01T00:00:00Z,34.025,-123.675,1.135232190788542E-4,9.110148839842487E-6,1.0441307023901171E-4,2.7003686164527028E-5
2000-01-01T00:00:00Z,34.025,-123.625,1.3702304764210725E-4,8.816582992350564E-6,1.282064646497567E-4,2.8319999249302698E-5
2000-01-01T00:00:00Z,34.025,-123.575,1.5967333585321442E-4,8.616813327595553E-6,1.5105652252561885E-4,2.9931165965064898E-5
2000-01-01T00:00:00Z,34.025,-123.525,1.682618285419078E-4,8.468113867981648E-6,1.5979371467392616E-4,3.0205368339133374E-5
2000-01-01T00:00:00Z,34.025,-123.475,1.6989429060822452E-4,8.450907545761393E-6,1.6144338306246312E-4,3.0420597309192464E-5
2000-01-01T00:00:00Z,34.025,-123.425,1.7314824616226047E-4,8.485676511670101E-6,1.6466256965059036E-4,3.156719158052816E-5
2000-01-01T00:00:00Z,34.025,-123.375,1.8555277272022338E-4,8.484428278307907E-6,1.7706834444191548E-4,3.3943473063574116E-5
